episode,return_mean,collisions,steps,success
1,-57.25292205810547,0,200,1
2,137.76785278320312,0,200,1
3,-41.60133361816406,0,200,1
4,-36.083335876464844,0,200,1
5,-43.69320297241211,0,200,1
6,-43.59571075439453,4,200,1
7,-49.90473937988281,0,200,1
8,-34.166114807128906,0,200,1
9,-30.170101165771484,0,200,1
10,-38.80372619628906,0,200,1
11,-19.501380920410156,0,200,1
12,207.42575073242188,0,200,1
13,-61.11259460449219,0,200,1
14,-54.19763946533203,5,200,1
15,-165.63397216796875,23,200,1
16,-57.059165954589844,4,200,1
17,-32.79908752441406,0,200,1
18,224.5277099609375,0,200,1
19,-34.51624298095703,0,200,1
20,-315.76904296875,36,200,1
21,-50.26902770996094,0,200,1
22,-41.08258056640625,0,200,1
23,129.69473266601562,0,200,1
24,-37.59702682495117,0,200,1
25,170.0847625732422,0,200,1
26,-11.383460998535156,0,200,1
27,-38.76809310913086,0,200,1
28,187.86129760742188,0,200,1
29,-56.65209197998047,0,200,1
30,-59.23375701904297,0,200,1
31,-12.2328462600708,0,200,1
32,-176.847412109375,41,200,1
33,-17.366600036621094,20,200,1
34,-251.3641815185547,47,200,1
35,-6.734716892242432,0,200,1
36,-45.84439468383789,0,200,1
37,-71.72224426269531,13,200,1
38,201.77163696289062,0,200,1
39,1.0655864477157593,0,200,1
40,151.5381317138672,0,200,1
41,175.0626220703125,0,200,1
42,-383.6933898925781,38,200,1
43,-46.14385223388672,0,200,1
44,-32.58563232421875,0,200,1
45,-38.8349494934082,6,200,1
46,188.075927734375,0,200,1
47,-36.92683792114258,0,200,1
48,171.72604370117188,0,200,1
49,200.8216094970703,0,200,1
50,-6.268877029418945,0,200,1
51,-20.410343170166016,0,200,1
52,-4.950949668884277,0,200,1
53,234.2524871826172,0,200,1
54,-39.602760314941406,0,200,1
55,12.72787094116211,0,200,1
56,-5.33145809173584,0,200,1
57,-19.14240264892578,0,200,1
58,-6.1085205078125,0,200,1
59,213.85427856445312,0,200,1
60,171.3584442138672,0,200,1
61,203.78013610839844,0,200,1
62,236.92771911621094,0,200,1
63,206.29452514648438,0,200,1
64,-40.04866027832031,0,200,1
65,-8.763496398925781,0,200,1
66,-82.61087036132812,13,200,1
67,-38.66810607910156,0,200,1
68,-35.4316520690918,0,200,1
69,-15.039477348327637,0,200,1
70,194.53321838378906,0,200,1
71,245.8424072265625,0,200,1
72,-26.749223709106445,0,200,1
73,18.598094940185547,0,200,1
74,223.869384765625,0,200,1
75,-17.71576499938965,0,200,1
76,365.792724609375,1,174,1
77,164.25746154785156,0,200,1
78,15.917533874511719,0,200,1
79,201.09075927734375,0,200,1
80,161.60614013671875,0,200,1
81,-32.671173095703125,0,200,1
82,2.0336318016052246,0,200,1
83,56.289306640625,16,200,1
84,357.6214599609375,0,138,1
85,227.15174865722656,1,200,1
86,-21.596893310546875,0,200,1
87,205.46018981933594,0,200,1
88,-63.504356384277344,8,200,1
89,179.98184204101562,0,200,1
90,276.88665771484375,13,111,1
91,292.2137145996094,0,199,1
92,-29.43605613708496,0,200,1
93,229.5682373046875,0,200,1
94,-2.1986048221588135,0,200,1
95,-24.34763526916504,0,200,1
96,-36.24776840209961,0,200,1
97,236.28733825683594,0,200,1
98,151.6495361328125,1,200,1
99,222.81063842773438,0,200,1
100,3.6299619674682617,0,200,1
101,-10.876864433288574,0,200,1
102,-22.192073822021484,0,200,1
103,-680.4291381835938,92,200,1
104,-104.26805877685547,20,200,1
105,221.6057586669922,0,200,1
106,239.86326599121094,0,200,1
107,-27.531166076660156,0,200,1
108,198.1068572998047,0,200,1
109,231.5866241455078,0,200,1
110,223.14852905273438,0,200,1
111,234.9102325439453,0,200,1
112,160.6117706298828,0,200,1
113,12.300000190734863,0,200,1
114,-18.754121780395508,0,200,1
115,202.58499145507812,1,200,1
116,152.8745880126953,9,200,1
117,216.88282775878906,0,200,1
118,-29.122413635253906,20,200,1
119,200.67584228515625,2,200,1
120,-208.29022216796875,27,200,1
121,-9.978744506835938,0,200,1
122,185.58416748046875,0,200,1
123,-100.55975341796875,16,200,1
124,186.41485595703125,0,200,1
125,226.27413940429688,0,200,1
126,-24.466156005859375,0,200,1
127,223.4105987548828,0,200,1
128,253.86697387695312,0,200,1
129,5.730442047119141,0,200,1
130,211.8288116455078,0,200,1
131,4.794482231140137,0,200,1
132,8.187042236328125,0,200,1
133,227.15957641601562,0,200,1
134,328.97216796875,0,145,1
135,210.78363037109375,0,200,1
136,-0.4974832534790039,0,200,1
137,205.36143493652344,0,200,1
138,-19.74407958984375,0,200,1
139,152.72271728515625,0,200,1
140,346.3609619140625,0,100,1
141,165.28518676757812,0,200,1
142,200.35394287109375,0,200,1
143,-95.84329986572266,45,94,1
144,-3.7068939208984375,31,200,1
145,346.39373779296875,0,93,1
146,3.826500654220581,0,200,1
147,197.15806579589844,0,200,1
148,129.77682495117188,24,200,1
149,-22.708023071289062,0,200,1
150,-6.311478614807129,0,200,1
151,-78.74754333496094,11,200,1
152,227.54615783691406,0,200,1
153,243.1467742919922,0,200,1
154,202.25274658203125,0,200,1
155,241.92474365234375,16,190,1
156,363.137451171875,1,169,1
157,378.6025390625,0,194,1
158,359.72943115234375,0,185,1
159,309.1028137207031,0,50,1
160,354.218505859375,0,185,1
161,217.12289428710938,0,200,1
162,364.246826171875,0,189,1
163,345.04754638671875,0,115,1
164,-686.7249755859375,57,200,1
165,28.026878356933594,0,200,1
166,227.74771118164062,26,141,1
167,154.7461395263672,19,151,1
168,198.20494079589844,0,200,1
169,197.8427734375,0,200,1
170,230.29263305664062,0,200,1
171,172.41085815429688,0,200,1
172,319.38287353515625,11,196,1
173,46.10167694091797,20,200,1
174,372.5164794921875,0,188,1
175,9.4285306930542,0,200,1
176,209.8767852783203,0,200,1
177,224.91152954101562,0,200,1
178,233.00511169433594,0,200,1
179,-294.212158203125,53,200,1
180,-17.841753005981445,0,200,1
181,198.58973693847656,0,200,1
182,371.78131103515625,0,144,1
183,349.17498779296875,0,82,1
184,3.570232629776001,0,200,1
185,-7.266623497009277,0,200,1
186,376.6605224609375,0,143,1
187,-4.4398651123046875,0,200,1
188,259.14385986328125,0,200,1
189,49.74443817138672,16,200,1
190,222.27491760253906,0,200,1
191,9.08358383178711,0,200,1
192,-9.648086547851562,0,200,1
193,175.76898193359375,0,200,1
194,352.223876953125,0,139,1
195,359.371826171875,0,169,1
196,216.0081787109375,0,200,1
197,132.5908203125,0,200,1
198,-6.230410099029541,0,200,1
199,366.52008056640625,0,183,1
200,-15.896003723144531,2,200,1
201,185.21783447265625,0,200,1
202,206.61761474609375,3,200,1
203,212.8699951171875,8,200,1
204,-9.206829071044922,0,200,1
205,-1.945749282836914,0,200,1
206,96.93511962890625,21,157,1
207,225.59034729003906,0,200,1
208,-7.379361629486084,0,200,1
209,207.50149536132812,0,200,1
210,367.5021667480469,0,167,1
211,25.94763946533203,16,200,1
212,230.9540557861328,0,200,1
213,332.218505859375,0,50,1
214,322.4818115234375,0,109,1
215,231.4707794189453,0,200,1
216,333.59954833984375,5,186,1
217,407.7633972167969,0,181,1
218,349.6612548828125,3,189,1
219,366.3041076660156,0,121,1
220,193.10850524902344,0,200,1
221,160.66854858398438,10,200,1
222,51.06847381591797,13,200,1
223,221.5905303955078,0,200,1
224,6.720380783081055,0,200,1
225,188.17330932617188,0,200,1
226,216.28753662109375,0,200,1
227,332.78826904296875,0,155,1
228,177.36460876464844,0,200,1
229,227.36712646484375,0,200,1
230,171.38751220703125,0,200,1
231,263.2623291015625,0,200,1
232,-38.21072769165039,14,200,1
233,244.81912231445312,0,200,1
234,217.45407104492188,0,200,1
235,344.20269775390625,0,177,1
236,183.618408203125,0,200,1
237,246.00564575195312,0,200,1
238,2.523501396179199,0,200,1
239,266.84619140625,11,150,1
240,206.00645446777344,0,200,1
241,219.55857849121094,0,200,1
242,255.74386596679688,0,200,1
243,205.11721801757812,0,200,1
244,223.07598876953125,0,200,1
245,202.25209045410156,0,200,1
246,144.59254455566406,12,200,1
247,0.0930938720703125,0,200,1
248,216.85238647460938,0,200,1
249,-309.65234375,64,200,1
250,351.87469482421875,0,134,1
251,-18.034820556640625,18,200,1
252,-13.06177806854248,0,200,1
253,260.755615234375,0,200,1
254,219.8965301513672,0,200,1
255,187.31727600097656,0,200,1
256,93.9865493774414,18,200,1
257,328.4599609375,0,150,1
258,213.90817260742188,0,200,1
259,360.19415283203125,0,187,1
260,359.33465576171875,0,127,1
261,251.4624481201172,0,200,1
262,332.6121520996094,0,99,1
263,375.5758056640625,0,123,1
264,341.1437072753906,0,157,1
265,343.533203125,0,200,1
266,-2.3131206035614014,0,200,1
267,316.67822265625,0,53,1
268,153.52249145507812,9,200,1
269,-10.104850769042969,0,200,1
270,-9.607860565185547,0,200,1
271,248.32395935058594,0,200,1
272,219.55560302734375,0,200,1
273,-8.09902286529541,0,200,1
274,1.45381498336792,0,200,1
275,215.120361328125,0,200,1
276,229.0548095703125,0,200,1
277,155.68865966796875,0,200,1
278,334.54022216796875,0,164,1
279,346.7344970703125,4,101,1
280,38.74311065673828,0,200,1
281,177.7639617919922,0,200,1
282,332.19061279296875,0,89,1
283,324.95001220703125,0,120,1
284,339.0474853515625,0,153,1
285,378.8092041015625,0,184,1
286,4.732736587524414,0,200,1
287,209.52293395996094,0,200,1
288,343.3113708496094,0,164,1
289,216.03607177734375,5,200,1
290,207.74917602539062,0,200,1
291,201.35987854003906,0,200,1
292,329.7335205078125,0,161,1
293,403.5142822265625,0,147,1
294,368.453125,0,124,1
295,355.515869140625,0,150,1
296,163.13438415527344,0,200,1
297,211.1336669921875,0,200,1
298,339.268310546875,0,57,1
299,-290.5323486328125,51,200,1
300,230.42079162597656,0,200,1
301,219.38046264648438,0,200,1
302,-18.454879760742188,0,200,1
303,195.46890258789062,0,200,1
304,179.76382446289062,0,200,1
305,228.21270751953125,0,200,1
306,333.53692626953125,0,47,1
307,187.84921264648438,0,200,1
308,225.18350219726562,0,200,1
309,-4.8889079093933105,0,200,1
310,-38.501914978027344,0,200,1
311,-20.632688522338867,0,200,1
312,199.21278381347656,0,200,1
313,3.8426108360290527,0,200,1
314,193.9257049560547,0,200,1
315,358.4598388671875,0,158,1
316,252.1465301513672,0,200,1
317,268.2441711425781,0,200,1
318,-6.52603816986084,0,200,1
319,205.16400146484375,0,200,1
320,233.94654846191406,0,200,1
321,-357.047607421875,63,200,1
322,-19.922807693481445,0,200,1
