episode,return_mean,collisions,steps,success
1,-80.90782165527344,0,300,0
2,238.080078125,0,300,0
3,-77.66423797607422,0,300,0
4,137.43783569335938,0,300,0
5,-62.22901916503906,0,300,0
6,-82.17887878417969,0,300,0
7,160.3245086669922,0,300,0
8,-53.98115539550781,0,300,0
9,-66.74362182617188,0,300,0
10,215.28224182128906,0,300,0
11,111.49784851074219,0,300,0
12,-30.495006561279297,0,300,0
13,-80.85831451416016,0,300,0
14,208.43780517578125,0,300,0
15,-47.667083740234375,0,300,0
16,-62.67922592163086,0,300,0
17,-42.214752197265625,0,300,0
18,249.426025390625,0,300,0
19,-39.996986389160156,0,300,0
20,-69.02873229980469,0,300,0
21,-86.79391479492188,0,300,0
22,-56.75863265991211,0,300,0
23,-49.366798400878906,0,300,0
24,-33.274776458740234,0,300,0
25,-62.265995025634766,1,300,0
26,-36.456844329833984,0,300,0
27,-63.64764404296875,0,300,0
28,-36.49082946777344,0,300,0
29,-81.65957641601562,0,300,0
30,258.92718505859375,0,300,0
31,-12.875213623046875,0,300,0
32,165.91175842285156,0,300,0
33,147.5008087158203,0,300,0
34,-49.94280242919922,3,300,0
35,-43.56250762939453,0,300,0
36,-58.54990768432617,0,300,0
37,-22.73326301574707,0,300,0
38,192.00979614257812,0,300,0
39,206.51600646972656,0,300,0
40,-42.42454147338867,0,300,0
41,-32.1158447265625,0,300,0
42,389.4476013183594,3,282,1
43,-60.52851867675781,0,300,0
44,-56.53656768798828,0,300,0
45,-32.80989074707031,1,300,0
46,-54.92970275878906,0,300,0
47,179.2888946533203,0,300,0
48,-25.808931350708008,0,300,0
49,198.89344787597656,0,300,0
50,-18.44594383239746,0,300,0
51,-47.80458068847656,0,300,0
52,-4.274890899658203,0,300,0
53,-28.50995445251465,0,300,0
54,-66.53289794921875,0,300,0
55,331.9913635253906,0,235,1
56,9.135873794555664,0,300,0
57,328.7795715332031,0,201,1
58,-41.419410705566406,0,300,0
59,-99.2098388671875,0,300,0
60,131.4032745361328,0,300,0
61,-55.877471923828125,0,300,0
62,366.06976318359375,0,205,1
63,138.43875122070312,0,300,0
64,273.4141540527344,0,300,0
65,-24.909353256225586,0,300,0
66,221.1730194091797,0,300,0
67,382.82904052734375,0,294,1
68,-57.70256805419922,0,300,0
69,343.4643249511719,0,167,1
70,-37.6091194152832,0,300,0
71,248.0430145263672,2,300,0
72,-40.2078971862793,0,300,0
73,12.511702537536621,0,300,0
74,347.5902099609375,0,87,1
75,-57.868446350097656,0,300,0
76,355.1414794921875,0,133,1
77,323.74517822265625,0,193,1
78,188.43997192382812,0,300,0
79,133.41815185546875,0,300,0
80,406.98638916015625,0,207,1
81,-55.37297821044922,0,300,0
82,207.5421142578125,0,300,0
83,-68.77766418457031,0,300,0
84,223.03933715820312,0,300,0
85,407.50347900390625,0,261,1
86,186.46243286132812,0,300,0
87,-24.961746215820312,0,300,0
88,-17.558795928955078,0,300,0
89,-45.460609436035156,0,300,0
90,323.81732177734375,0,239,1
91,364.40362548828125,0,223,1
92,193.4464569091797,0,300,0
93,195.9302215576172,0,300,0
94,-39.12701416015625,0,300,0
95,236.72401428222656,0,300,0
96,228.35894775390625,0,300,0
97,262.3459777832031,0,300,0
98,115.44088745117188,2,300,0
99,136.7577667236328,0,300,0
100,356.41949462890625,0,131,1
